         24506273 function calls (12656933 primitive calls) in 23.992 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.014    0.001    0.116    0.007 /home/sergi/projects/postquantic-pot-code/src/ajtai/__init__.py:20(hash_to_point)
   741333    0.115    0.000    0.115    0.000 {built-in method math.floor}
   800900    0.112    0.000    0.112    0.000 {built-in method math.log2}
     1414    0.025    0.000    0.109    0.000 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring_element.py:235(_mul_)
  611/256    0.106    0.000    0.106    0.000 {built-in method builtins.hash}
        3    0.000    0.000    0.106    0.035 /usr/lib/python3.13/site-packages/sage/categories/rings.py:983(quotient)
        3    0.000    0.000    0.106    0.035 /usr/lib/python3.13/site-packages/sage/rings/quotient_ring.py:134(QuotientRing)
      139    0.000    0.000    0.106    0.001 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring.py:720(__hash__)
        3    0.005    0.002    0.105    0.035 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring.py:1818(quotient_by_principal_ideal)
       18    0.001    0.000    0.102    0.006 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:81(decompose)
        1    0.000    0.000    0.101    0.101 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:129(merchant_blind_sign)
       91    0.002    0.000    0.099    0.001 {sage.modules.free_module_element.vector}
        3    0.082    0.027    0.099    0.033 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring.py:233(create_object)
   163029    0.098    0.000    0.098    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:187(<genexpr>)
      102    0.001    0.000    0.095    0.001 /usr/lib/python3.13/site-packages/sage/modules/free_module.py:307(FreeModule)
     3460    0.089    0.000    0.092    0.000 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring_element.py:108(__init__)
        1    0.000    0.000    0.085    0.085 /home/sergi/projects/postquantic-pot-code/src/falcon/__init__.py:35(my_sign)
       11    0.000    0.000    0.084    0.008 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:91(high_bits)
       36    0.000    0.000    0.080    0.002 /usr/lib/python3.13/site-packages/sage/categories/modules_with_basis.py:2219(map_coefficients)
   550842    0.080    0.000    0.080    0.000 {method 'random' of '_random.Random' objects}
        7    0.000    0.000    0.080    0.011 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:72(rej_sampling)
        1    0.001    0.001    0.080    0.080 /home/sergi/projects/postquantic-pot-code/src/falcon/falcon.py:287(sample_preimage)
       36    0.000    0.000    0.080    0.002 /usr/lib/python3.13/site-packages/sage/categories/modules_with_basis.py:1186(sum_of_terms)
       36    0.000    0.000    0.080    0.002 /usr/lib/python3.13/site-packages/sage/categories/additive_monoids.py:52(sum)
      180    0.000    0.000    0.077    0.000 /usr/lib/python3.13/site-packages/sage/categories/modules_with_basis.py:1206(<genexpr>)
    16943    0.030    0.000    0.075    0.000 /usr/lib/python3.13/site-packages/Crypto/Hash/SHAKE256.py:87(read)
      571    0.002    0.000    0.073    0.000 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring.py:444(_element_constructor_)
      180    0.001    0.000    0.071    0.000 /usr/lib/python3.13/site-packages/sage/categories/modules_with_basis.py:2296(<genexpr>)
      123    0.000    0.000    0.070    0.001 /home/sergi/projects/postquantic-pot-code/src/context/context.py:269(poly_to_bits)
        3    0.000    0.000    0.066    0.022 /home/sergi/projects/postquantic-pot-code/src/ecoin/kyber.py:28(enc)
      558    0.066    0.000    0.066    0.000 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring.py:335(_element_constructor_)
   2047/1    0.006    0.000    0.064    0.064 /home/sergi/projects/postquantic-pot-code/src/falcon/ffsampling.py:189(ffsampling_fft)
       29    0.000    0.000    0.054    0.002 /home/sergi/projects/postquantic-pot-code/src/context/context.py:237(digest)
        1    0.000    0.000    0.054    0.054 /home/sergi/projects/postquantic-pot-code/src/ecoin/kyber.py:83(kyber_key_gen)
       64    0.000    0.000    0.054    0.001 {method 'join' of 'bytes' objects}
      145    0.000    0.000    0.054    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:239(<genexpr>)
     1718    0.009    0.000    0.053    0.000 {built-in method builtins.max}
    56347    0.033    0.000    0.052    0.000 /usr/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
        4    0.000    0.000    0.051    0.013 /home/sergi/projects/postquantic-pot-code/src/assymetric/merchant.py:38(compute_r1)
   296281    0.049    0.000    0.049    0.000 {built-in method builtins.min}
       18    0.000    0.000    0.047    0.003 /home/sergi/projects/postquantic-pot-code/src/context/context.py:280(inf_norm)
        1    0.000    0.000    0.046    0.046 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:64(signature)
    18450    0.008    0.000    0.044    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:282(<genexpr>)
       18    0.000    0.000    0.043    0.002 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:27(centered_mod)
        4    0.000    0.000    0.043    0.011 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:136(verify)
    55296    0.025    0.000    0.043    0.000 /usr/lib/python3.13/site-packages/sage/misc/prandom.py:62(_pyrand)
     5287    0.039    0.000    0.040    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/fft.py:139(mul_fft)
   120/73    0.001    0.000    0.038    0.001 /usr/lib/python3.13/site-packages/sage/categories/category.py:425(__classcall__)
        7    0.000    0.000    0.036    0.005 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:88(low_bits)
        9    0.000    0.000    0.035    0.004 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:85(blob)
       16    0.000    0.000    0.033    0.002 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:64(digest)
    17065    0.009    0.000    0.033    0.000 /usr/lib/python3.13/site-packages/Crypto/Util/_raw_api.py:121(create_string_buffer)
   235520    0.032    0.000    0.032    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/ntrugen.py:226(<genexpr>)
    25/11    0.000    0.000    0.031    0.003 <frozen importlib._bootstrap>:1349(_find_and_load)
      134    0.012    0.000    0.031    0.000 {built-in method _functools.reduce}
    25/11    0.000    0.000    0.031    0.003 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       72    0.007    0.000    0.031    0.000 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:21(f)
    32442    0.007    0.000    0.030    0.000 /home/sergi/projects/postquantic-pot-code/src/ajtai/__init__.py:13(_message_to_bytes)
       72    0.009    0.000    0.030    0.000 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:85(<lambda>)
    25/11    0.000    0.000    0.030    0.003 <frozen importlib._bootstrap>:911(_load_unlocked)
   1023/1    0.003    0.000    0.030    0.030 /home/sergi/projects/postquantic-pot-code/src/falcon/ffsampling.py:118(ffldl_fft)
    66/23    0.000    0.000    0.029    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    95/51    0.000    0.000    0.028    0.001 /usr/lib/python3.13/site-packages/sage/structure/unique_representation.py:1098(__classcall__)
     13/8    0.000    0.000    0.028    0.004 <frozen importlib._bootstrap_external>:1020(exec_module)
    95/51    0.000    0.000    0.028    0.001 /usr/lib/python3.13/site-packages/sage/structure/unique_representation.py:573(__classcall__)
    95/51    0.000    0.000    0.028    0.001 {sage.misc.classcall_metaclass.typecall}
     13/8    0.000    0.000    0.027    0.003 {built-in method builtins.exec}
     40/5    0.000    0.000    0.027    0.005 /usr/lib/python3.13/site-packages/Crypto/Cipher/AES.py:128(new)
     40/5    0.000    0.000    0.027    0.005 /usr/lib/python3.13/site-packages/Crypto/Cipher/__init__.py:25(_create_cipher)
   218/86    0.001    0.000    0.026    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:1487(_make_named_class)
    93/55    0.001    0.000    0.026    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:456(__init__)
   138780    0.025    0.000    0.025    0.000 {built-in method builtins.round}
   194/85    0.001    0.000    0.024    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:2748(_make_named_class)
     4183    0.022    0.000    0.024    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/fft.py:96(add)
        1    0.000    0.000    0.023    0.023 /home/sergi/projects/postquantic-pot-code/src/ecoin/kyber.py:72(enc)
