max_coins,degree,set_up,wallet_creation,item_acquisition
1, 1024, 14.542537212371826, 0.31656956672668457, 0.16389942169189453
1, 1024, 22.013226985931396, 0.46938490867614746, 0.18775177001953125
1, 1024, 24.573533535003662, 0.6382317543029785, 0.26277828216552734



1, 1024

1, 1024, 26.810195922851562, 0.49396347999572754, 0.3372166156768799
1, 1024, 14.676796197891235, 0.18198680877685547, 0.13424921035766602
1, 1024, 35.15616488456726, 0.37639379501342773, 0.262392520904541
1, 1024, 13.352019786834717, 0.2751445770263672, 0.07457375526428223
1, 1024, 13.719688177108765, 0.3392174243927002, 0.10000944137573242
1, 1024, 24.67362642288208, 0.46401309967041016, 0.21712327003479004
1, 1024, 26.853389739990234, 0.6957798004150391, 0.15284180641174316
1, 1024, 29.7251079082489, 0.23161602020263672, 0.23940038681030273
2, 1024, 27.11150550842285, 0.5769262313842773, 0.20906305313110352
2, 1024, 27.27948570251465, 0.5341503620147705, 0.20296239852905273
2, 1024, 31.843262910842896, 0.5765707492828369, 0.1978163719177246
2, 1024, 27.08714771270752, 0.5216126441955566, 0.2207355499267578
2, 1024, 67.49869704246521, 1.5464675426483154, 0.30966973304748535
2, 1024, 54.09026479721069, 0.817378044128418, 0.3131122589111328
2, 1024, 55.77127647399902, 0.791083574295044, 0.30265045166015625
2, 1024, 63.781771659851074, 0.8522231578826904, 0.49640488624572754
2, 1024, 28.004145622253418, 0.765740156173706, 0.15972089767456055
2, 1024, 38.77041816711426, 0.4049804210662842, 0.2451918125152588
2, 1024, 54.679171323776245, 1.1161315441131592, 0.4709196090698242
2, 1024, 62.07326030731201, 0.7707099914550781, 0.33691859245300293
4, 1024, 49.893550634384155, 1.1156396865844727, 0.43208980560302734
4, 1024, 68.07996654510498, 1.019925832748413, 0.3692340850830078
4, 1024, 124.42779970169067, 1.495285987854004, 0.8965551853179932
4, 1024, 122.0884485244751, 2.5074989795684814, 0.6879675388336182
4, 1024, 63.59931564331055, 0.9591732025146484, 0.6025815010070801
4, 1024, 72.7939977645874, 1.0105538368225098, 0.3442542552947998
4, 1024, 96.02883052825928, 2.473066568374634, 0.7043299674987793
4, 1024, 118.3665406703949, 2.4925284385681152, 1.026691198348999
4, 1024, 65.18571662902832, 0.9868414402008057, 0.45344042778015137
4, 1024, 64.327556848526, 0.9778072834014893, 0.46402978897094727
4, 1024, 119.36109018325806, 3.4932353496551514, 0.6797454357147217
4, 1024, 137.3676517009735, 1.8296682834625244, 0.808469295501709
8, 1024, 131.1455261707306, 2.153313398361206, 0.820162296295166
8, 1024, 135.5380871295929, 2.3437347412109375, 0.887458086013794
8, 1024, 247.44990754127502, 3.45463490486145, 1.699643850326538
8, 1024, 265.5288460254669, 5.828106880187988, 1.6284244060516357
8, 1024, 139.16161513328552, 1.7559256553649902, 0.8329508304595947
8, 1024, 146.95083141326904, 2.179213285446167, 0.7055373191833496
8, 1024, 245.9009304046631, 4.157193660736084, 1.5698204040527344
8, 1024, 259.0499143600464, 4.447868347167969, 1.6294403076171875
8, 1024, 120.3761465549469, 2.448451042175293, 0.8831589221954346
8, 1024, 157.33138942718506, 2.1192820072174072, 0.9131946563720703
8, 1024, 280.21970653533936, 3.988236427307129, 1.5150225162506104
8, 1024, 269.6295335292816, 3.830425500869751, 1.6859827041625977
16, 1024, 261.78129982948303, 4.038600921630859, 1.557204246520996
16, 1024, 273.39168977737427, 5.709146499633789, 1.7460839748382568
16, 1024, 568.537029504776, 8.349019289016724, 2.7127697467803955
16, 1024, 289.6140830516815, 4.256092071533203, 1.870537281036377
16, 1024, 484.99050879478455, 8.642468929290771, 3.136247396469116
16, 1024, 269.6259090900421, 4.4553892612457275, 1.9326903820037842
16, 1024, 486.95058488845825, 9.438992261886597, 3.1442112922668457
16, 1024, 401.0715684890747, 7.490840196609497, 3.1287384033203125
16, 1024, 309.29468536376953, 4.6944215297698975, 1.6321816444396973
16, 1024, 480.61347341537476, 10.446336269378662, 3.1833860874176025



16, 1024

32, 1024, 539.0031621456146, 8.888644695281982, 3.7134385108947754
32, 1024, 524.968204498291, 9.350184440612793, 3.500856399536133
32, 1024, 806.2985744476318, 15.985841989517212, 5.988550901412964
32, 1024, 891.652220249176, 14.879107475280762, 6.0009918212890625
32, 1024, 575.5182292461395, 8.868891716003418, 3.539933443069458
32, 1024, 799.0202350616455, 15.641472339630127, 5.971342086791992
32, 1024, 695.0660157203674, 9.692449808120728, 3.800133466720581
32, 1024, 610.3727266788483, 14.029549837112427, 6.042424917221069
32, 1024, 847.4818148612976, 13.80123496055603, 5.84297513961792
64, 1024, 1817.8314707279205, 32.7662672996521, 12.560323238372803
64, 1024, 1829.8997581005096, 32.34393119812012, 14.208014011383057
64, 1024, 1428.7106642723083, 27.10794186592102, 12.656845092773438
64, 1024, 1279.7238080501556, 27.915775537490845, 11.843604326248169
64, 1024, 1742.0453798770905, 33.15516686439514, 13.830922365188599
64, 1024, 1624.9346597194672, 38.54926943778992, 12.428597688674927
64, 1024, 1842.6811547279358, 29.546924829483032, 11.437847375869751



64, 1024

64, 1024, 1453.836233139038, 19.1941556930542, 7.479673862457275
64, 1024, 1197.9256336688995, 28.862590789794922, 9.675325155258179
64, 1024, 1342.8331356048584, 28.224464893341064, 12.560845613479614
