max_coins,degree,set_up,items_preparation,wallet_creation,item_acquisition,price
1, 1024, 12.754278182983398, 0.02688288688659668, 0.2662925720214844, 0.18778276443481445, 1
1, 1024, 12.684258937835693, 0.02672719955444336, 0.3659539222717285, 0.17736268043518066, 1
1, 1024, 19.95938777923584, 0.02662515640258789, 0.2808701992034912, 0.16691279411315918, 1
1, 1024, 25.436443567276, 0.05078434944152832, 0.7627410888671875, 0.19733881950378418, 1
1, 1024, 26.186866760253906, 0.05039024353027344, 0.4193263053894043, 0.41927504539489746, 1
1, 1024, 28.211146116256714, 0.050184011459350586, 0.612297773361206, 0.1946711540222168, 1
1, 1024, 17.3674259185791, 0.016524553298950195, 0.3014833927154541, 0.09697818756103516, 0
1, 1024, 13.41881537437439, 0.016634702682495117, 0.32033729553222656, 0.07724356651306152, 0
1, 1024, 22.03922152519226, 0.03177452087402344, 0.28763532638549805, 0.368488073348999, 0
1, 1024, 17.804471492767334, 0.029515743255615234, 0.4468424320220947, 0.14447784423828125, 0
1, 1024, 15.280043601989746, 0.016504526138305664, 0.20078110694885254, 0.10230016708374023, 1
1, 1024, 13.15050196647644, 0.01648545265197754, 0.41834020614624023, 0.12272429466247559, 1
1, 1024, 23.416839599609375, 0.03165435791015625, 0.4114248752593994, 0.14797258377075195, 0
1, 1024, 31.338622331619263, 0.031713008880615234, 0.6178333759307861, 0.18285179138183594, 0
1, 1024, 15.948425531387329, 0.016518115997314453, 0.1589806079864502, 0.07724666595458984, 0
1, 1024, 15.202054500579834, 0.016515731811523438, 0.20589685440063477, 0.07655978202819824, 0
1, 1024, 31.20806908607483, 0.031877756118774414, 0.4077425003051758, 0.19310951232910156, 1
1, 1024, 23.886372804641724, 0.031580209732055664, 0.6160590648651123, 0.15788984298706055, 1
1, 1024, 42.78441119194031, 0.03257894515991211, 0.8902113437652588, 0.31230616569519043, 1
2, 1024, 27.365883350372314, 0.03364419937133789, 0.7078423500061035, 0.30788111686706543, 3
1, 1024, 31.438623428344727, 0.03217339515686035, 0.4591059684753418, 0.19776010513305664, 1
1, 1024, 18.633021593093872, 0.01687765121459961, 0.31022119522094727, 0.07933878898620605, 0
1, 1024, 26.26227903366089, 0.032149314880371094, 0.5436100959777832, 0.18398022651672363, 0
2, 1024, 51.00270462036133, 0.06587076187133789, 1.1125497817993164, 0.43654537200927734, 3
1, 1024, 28.826680183410645, 0.033283233642578125, 0.25733494758605957, 0.1533064842224121, 0
1, 1024, 24.8072190284729, 0.03326249122619629, 0.532780647277832, 0.15173578262329102, 0
2, 1024, 28.16399121284485, 0.03398251533508301, 1.6908142566680908, 0.3233499526977539, 3
2, 1024, 33.25018262863159, 0.034650564193725586, 0.43817663192749023, 0.20154690742492676, 0
2, 1024, 28.98158836364746, 0.034906625747680664, 0.46483588218688965, 0.1734473705291748, 3
2, 1024, 31.813000679016113, 0.0348968505859375, 0.5053863525390625, 0.3185701370239258, 3
2, 1024, 67.94988942146301, 0.06663107872009277, 1.1214313507080078, 0.48593902587890625, 3
2, 1024, 53.541321754455566, 0.06707358360290527, 1.0421650409698486, 0.368541955947876, 3
2, 1024, 30.50926899909973, 0.0357210636138916, 0.5344464778900146, 0.2063448429107666, 0
