max_coins,degree,set_up,wallet_creation,buy_item,price
1, 1024, 14.21661114692688, 0.35041189193725586, 0.16638445854187012, 1
1, 1024, 20.73328995704651, 0.4891068935394287, 0.16509032249450684, 1
1, 1024, 26.392052173614502, 0.992997407913208, 0.2673203945159912, 1
1, 1024, 27.342506408691406, 0.632688045501709, 0.342151403427124, 1
1, 1024, 31.425538539886475, 0.818082332611084, 0.26598668098449707, 1
1, 1024, 32.8730263710022, 0.46312546730041504, 0.37549567222595215, 1
1, 1024, 13.602134466171265, 0.12991738319396973, 0.13451600074768066, 0
1, 1024, 20.86859130859375, 0.14623236656188965, 0.07474994659423828, 0
1, 1024, 23.962336778640747, 0.3378911018371582, 0.14215397834777832, 0
1, 1024, 17.173784971237183, 0.3116791248321533, 0.0797266960144043, 1
1, 1024, 18.894370555877686, 0.29500746726989746, 0.08009815216064453, 1
1, 1024, 26.221632719039917, 0.31899476051330566, 0.14200687408447266, 0
1, 1024, 23.963377952575684, 0.6481590270996094, 0.20442867279052734, 0
1, 1024, 30.650636196136475, 0.42296576499938965, 0.25502586364746094, 0
1, 1024, 14.784144163131714, 0.2697305679321289, 0.15346479415893555, 0
1, 1024, 21.523054122924805, 0.29315948486328125, 0.09546422958374023, 0
1, 1024, 28.969056606292725, 0.4071512222290039, 0.19093632698059082, 1
1, 1024, 16.190842390060425, 1.1010160446166992, 0.1882798671722412, 1
1, 1024, 26.72007942199707, 0.6954867839813232, 0.19120121002197266, 1
1, 1024, 27.625425815582275, 0.3543543815612793, 0.19196701049804688, 1
1, 1024, 25.059961557388306, 0.3088104724884033, 0.11750602722167969, 0
2, 1024, 39.722649812698364, 0.5463619232177734, 0.3395678997039795, 3
1, 1024, 28.700212240219116, 0.5268137454986572, 0.18099236488342285, 0
2, 1024, 33.5147430896759, 0.9414718151092529, 0.5023336410522461, 3
1, 1024, 25.237993240356445, 0.7246310710906982, 0.14527297019958496, 0
1, 1024, 30.50029492378235, 0.507943868637085, 0.14532017707824707, 0
2, 1024, 22.161012172698975, 0.5502922534942627, 0.2247638702392578, 3
2, 1024, 30.288392305374146, 0.41887497901916504, 0.19235825538635254, 0
2, 1024, 51.783053398132324, 1.2532446384429932, 0.4245028495788574, 3
2, 1024, 21.223215341567993, 0.5069167613983154, 0.24411535263061523, 3
2, 1024, 50.220282793045044, 0.9247159957885742, 0.31586790084838867, 3
2, 1024, 28.886220932006836, 0.39144372940063477, 0.1940162181854248, 0
2, 1024, 57.405965089797974, 0.9064292907714844, 0.2842550277709961, 0
